roll_date,crossover_date,from_symbol,to_symbol,from_instrument_id,to_instrument_id
2016-03-14,2016-03-11,6EH6,6EM6,175152,175211
2016-06-13,2016-06-10,6EM6,6EU6,175211,175241
2016-09-19,2016-09-16,6EU6,6EZ6,175241,175316
2016-12-19,2016-12-16,6EZ6,6EH7,175316,175382
2017-03-13,2017-03-10,6EH7,6EM7,175382,175376
2017-06-19,2017-06-16,6EM7,6EU7,175376,175386
2017-09-18,2017-09-15,6EU7,6EZ7,175386,173245
2017-12-18,2017-12-15,6EZ7,6EH8,173245,173248
2018-03-19,2018-03-16,6EH8,6EM8,173248,173275
2018-06-18,2018-06-15,6EM8,6EU8,173275,173307
2018-09-17,2018-09-14,6EU8,6EZ8,173307,192848
2018-12-17,2018-12-14,6EZ8,6EH9,192848,1191
2019-03-18,2019-03-15,6EH9,6EM9,1191,5063
2019-06-17,2019-06-14,6EM9,6EU9,5063,20159
2019-09-16,2019-09-13,6EU9,6EZ9,20159,178373
2019-12-16,2019-12-13,6EZ9,6EH0,178373,56340
2020-03-16,2020-03-13,6EH0,6EM0,56340,71003
2020-06-15,2020-06-12,6EM0,6EU0,71003,109520
2020-09-14,2020-09-11,6EU0,6EZ0,109520,98206
2020-12-14,2020-12-11,6EZ0,6EH1,98206,3903
2021-03-15,2021-03-12,6EH1,6EM1,3903,80958
2021-06-14,2021-06-11,6EM1,6EU1,80958,244688
2021-09-13,2021-09-10,6EU1,6EZ1,244688,86136
2021-12-13,2021-12-10,6EZ1,6EH2,86136,28727
2022-03-14,2022-03-11,6EH2,6EM2,28727,11232
2022-06-13,2022-06-10,6EM2,6EU2,11232,44629
2022-09-19,2022-09-16,6EU2,6EZ2,44629,191026
2022-12-19,2022-12-16,6EZ2,6EH3,191026,270958
2023-03-13,2023-03-10,6EH3,6EM3,270958,11985
2023-06-16,2023-06-15,6EM3,6EU3,11985,172853
2023-09-18,2023-09-15,6EU3,6EZ3,172853,306787
2023-12-18,2023-12-15,6EZ3,6EH4,306787,156627
2024-03-18,2024-03-15,6EH4,6EM4,156627,131197
2024-06-17,2024-06-14,6EM4,6EU4,131197,201330
2024-09-16,2024-09-13,6EU4,6EZ4,201330,147644
2024-12-16,2024-12-13,6EZ4,6EH5,147644,42272
2025-03-17,2025-03-14,6EH5,6EM5,42272,12494
2025-06-16,2025-06-13,6EM5,6EU5,12494,3624
2025-09-15,2025-09-12,6EU5,6EZ5,3624,4274
2025-12-15,2025-12-12,6EZ5,6EH6,4274,57062
2026-03-16,2026-03-13,6EH6,6EM6,57062,20048
2026-06-15,2026-06-12,6EM6,6EU6,20048,10573
