roll_date,crossover_date,from_symbol,to_symbol,from_instrument_id,to_instrument_id
2016-01-19,2016-01-18,CLG6,CLH6,490640,238629
2016-02-19,2016-02-18,CLH6,CLJ6,238629,633738
2016-03-18,2016-03-17,CLJ6,CLK6,633738,354687
2016-04-19,2016-04-18,CLK6,CLM6,354687,253153
2016-05-19,2016-05-18,CLM6,CLN6,253153,733636
2016-06-20,2016-06-17,CLN6,CLQ6,733636,418919
2016-07-19,2016-07-18,CLQ6,CLU6,418919,140611
2016-08-19,2016-08-18,CLU6,CLV6,140611,526523
2016-09-19,2016-09-16,CLV6,CLX6,526523,252526
2016-10-19,2016-10-18,CLX6,CLZ6,252526,303804
2016-11-18,2016-11-17,CLZ6,CLF7,303804,784319
2016-12-19,2016-12-16,CLF7,CLG7,784319,468198
2017-01-19,2017-01-18,CLG7,CLH7,468198,461443
2017-02-17,2017-02-16,CLH7,CLJ7,461443,399575
2017-03-20,2017-03-17,CLJ7,CLK7,399575,591942
2017-04-19,2017-04-18,CLK7,CLM7,591942,58638
2017-05-19,2017-05-18,CLM7,CLN7,58638,530071
2017-06-19,2017-06-16,CLN7,CLQ7,530071,337704
2017-07-19,2017-07-18,CLQ7,CLU7,337704,16346
2017-08-21,2017-08-18,CLU7,CLV7,16346,722442
2017-09-19,2017-09-18,CLV7,CLX7,722442,660580
2017-10-19,2017-10-18,CLX7,CLZ7,660580,18179
2017-11-17,2017-11-16,CLZ7,CLF8,18179,800225
2017-12-18,2017-12-15,CLF8,CLG8,800225,253894
2018-01-19,2018-01-18,CLG8,CLH8,253894,669714
2018-02-16,2018-02-15,CLH8,CLJ8,669714,477338
2018-03-19,2018-03-16,CLJ8,CLK8,477338,545967
2018-04-19,2018-04-18,CLK8,CLM8,545967,45928
2018-05-21,2018-05-18,CLM8,CLN8,45928,353594
2018-06-19,2018-06-18,CLN8,CLQ8,353594,253896
2018-07-19,2018-07-18,CLQ8,CLU8,253896,738344
2018-08-20,2018-08-17,CLU8,CLV8,738344,820474
2018-09-19,2018-09-18,CLV8,CLX8,820474,305220
2018-10-19,2018-10-18,CLX8,CLZ8,305220,60391
2018-11-16,2018-11-15,CLZ8,CLF9,60391,110955
2018-12-18,2018-12-17,CLF9,CLG9,110955,303281
2019-01-18,2019-01-17,CLG9,CLH9,303281,79323
2019-02-18,2019-02-15,CLH9,CLJ9,79323,97456
2019-03-19,2019-03-18,CLJ9,CLK9,97456,694785
2019-04-18,2019-04-17,CLK9,CLM9,694785,551735
2019-05-20,2019-05-17,CLM9,CLN9,551735,117678
2019-06-19,2019-06-18,CLN9,CLQ9,117678,310036
2019-07-19,2019-07-18,CLQ9,CLU9,310036,371909
2019-08-19,2019-08-16,CLU9,CLV9,371909,82818
2019-09-19,2019-09-18,CLV9,CLX9,82818,405685
2019-10-21,2019-10-18,CLX9,CLZ9,405685,327892
2019-11-19,2019-11-18,CLZ9,CLF0,327892,173724
2019-12-18,2019-12-17,CLF0,CLG0,173724,750664
2020-01-17,2020-01-16,CLG0,CLH0,750664,558279
2020-02-18,2020-02-17,CLH0,CLJ0,558279,496408
