roll_date,crossover_date,from_symbol,to_symbol,from_instrument_id,to_instrument_id
2016-03-14,2016-03-11,ESH6,ESM6,49705,6505
2016-06-13,2016-06-10,ESM6,ESU6,6505,2615
2016-09-12,2016-09-09,ESU6,ESZ6,2615,2928
2016-12-12,2016-12-09,ESZ6,ESH7,2928,35903
2017-03-13,2017-03-10,ESH7,ESM7,35903,9006
2017-06-12,2017-06-09,ESM7,ESU7,9006,24842
2017-09-11,2017-09-08,ESU7,ESZ7,24842,23936
2017-12-11,2017-12-08,ESZ7,ESH8,23936,21168
2018-03-13,2018-03-12,ESH8,ESM8,21168,23252
2018-06-12,2018-06-11,ESM8,ESU8,23252,57287
2018-09-17,2018-09-14,ESU8,ESZ8,57287,16114
2018-12-17,2018-12-14,ESZ8,ESH9,16114,18720
2019-03-11,2019-03-08,ESH9,ESM9,18720,736
2019-06-17,2019-06-14,ESM9,ESU9,736,37699
2019-09-16,2019-09-13,ESU9,ESZ9,37699,16145
2019-12-16,2019-12-13,ESZ9,ESH0,16145,10571
2020-03-17,2020-03-16,ESH0,ESM0,10571,21336
2020-06-16,2020-06-15,ESM0,ESU0,21336,12181
2020-09-14,2020-09-11,ESU0,ESZ0,12181,19100
2020-12-14,2020-12-11,ESZ0,ESH1,19100,5482
2021-03-15,2021-03-12,ESH1,ESM1,5482,3853
2021-06-14,2021-06-11,ESM1,ESU1,3853,1030
2021-09-13,2021-09-10,ESU1,ESZ1,1030,8858
2021-12-13,2021-12-10,ESZ1,ESH2,8858,5782
2022-03-14,2022-03-11,ESH2,ESM2,5782,3403
2022-06-14,2022-06-13,ESM2,ESU2,3403,97042
2022-09-13,2022-09-12,ESU2,ESZ2,97042,206323
2022-12-13,2022-12-12,ESZ2,ESH3,206323,206299
2023-03-14,2023-03-13,ESH3,ESM3,206299,95414
2023-06-13,2023-06-12,ESM3,ESU3,95414,3445
2023-09-12,2023-09-11,ESU3,ESZ3,3445,314863
2023-12-12,2023-12-11,ESZ3,ESH4,314863,17077
2024-03-12,2024-03-11,ESH4,ESM4,17077,5602
2024-06-18,2024-06-17,ESM4,ESU4,5602,118
2024-09-17,2024-09-16,ESU4,ESZ4,118,183748
2024-12-17,2024-12-16,ESZ4,ESH5,183748,5002
2025-03-18,2025-03-17,ESH5,ESM5,5002,4916
2025-06-17,2025-06-16,ESM5,ESU5,4916,14160
2025-09-16,2025-09-15,ESU5,ESZ5,14160,294973
2025-12-16,2025-12-15,ESZ5,ESH6,294973,42140878
2026-03-17,2026-03-16,ESH6,ESM6,42140878,42140864
2026-06-16,2026-06-15,ESM6,ESU6,42140864,42140870
