roll_date,crossover_date,from_symbol,to_symbol,from_instrument_id,to_instrument_id
2016-01-29,2016-01-28,GCG6,GCJ6,77179,1023
2016-03-30,2016-03-29,GCJ6,GCM6,1023,145725
2016-05-30,2016-05-27,GCM6,GCQ6,145725,870
2016-07-29,2016-07-28,GCQ6,GCZ6,870,140396
2016-11-30,2016-11-29,GCZ6,GCG7,140396,2188
2017-01-31,2017-01-30,GCG7,GCJ7,2188,805
2017-03-31,2017-03-30,GCJ7,GCM7,805,160078
2017-05-30,2017-05-29,GCM7,GCQ7,160078,66404
2017-07-31,2017-07-28,GCQ7,GCZ7,66404,60173
2017-11-30,2017-11-29,GCZ7,GCG8,60173,15562
2018-01-31,2018-01-30,GCG8,GCJ8,15562,2115
2018-03-28,2018-03-27,GCJ8,GCM8,2115,51253
2018-05-30,2018-05-29,GCM8,GCQ8,51253,178970
2018-07-31,2018-07-30,GCQ8,GCZ8,178970,276142
2018-11-30,2018-11-29,GCZ8,GCG9,276142,32257
2019-01-31,2019-01-30,GCG9,GCJ9,32257,14651
2019-03-28,2019-03-27,GCJ9,GCM9,14651,142620
2019-05-30,2019-05-29,GCM9,GCQ9,142620,4226
2019-07-31,2019-07-30,GCQ9,GCZ9,4226,116834
2019-11-28,2019-11-27,GCZ9,GCG0,116834,113040
2020-01-31,2020-01-30,GCG0,GCJ0,113040,42623
2020-03-30,2020-03-27,GCJ0,GCM0,42623,1026
2020-05-28,2020-05-27,GCM0,GCQ0,1026,4794
2020-07-31,2020-07-30,GCQ0,GCZ0,4794,422
2020-11-27,2020-11-26,GCZ0,GCG1,422,6466
2021-01-29,2021-01-28,GCG1,GCJ1,6466,3067
2021-03-30,2021-03-29,GCJ1,GCM1,3067,100440
2021-05-27,2021-05-26,GCM1,GCQ1,100440,152
2021-07-30,2021-07-29,GCQ1,GCZ1,152,51659
2021-11-29,2021-11-26,GCZ1,GCG2,51659,14725
2022-01-28,2022-01-27,GCG2,GCJ2,14725,1619
2022-03-30,2022-03-29,GCJ2,GCM2,1619,1064
2022-05-30,2022-05-27,GCM2,GCQ2,1064,5568
2022-07-29,2022-07-28,GCQ2,GCZ2,5568,225405
2022-11-30,2022-11-29,GCZ2,GCG3,225405,3324
2023-01-31,2023-01-30,GCG3,GCJ3,3324,4235
2023-03-30,2023-03-29,GCJ3,GCM3,4235,30052
2023-05-30,2023-05-29,GCM3,GCQ3,30052,9466
2023-07-31,2023-07-28,GCQ3,GCZ3,9466,7246
2023-11-29,2023-11-28,GCZ3,GCG4,7246,41512
2024-01-30,2024-01-29,GCG4,GCJ4,41512,44740
2024-03-27,2024-03-26,GCJ4,GCM4,44740,669
2024-05-30,2024-05-29,GCM4,GCQ4,669,2017
2024-07-30,2024-07-29,GCQ4,GCZ4,2017,393
2024-11-28,2024-11-27,GCZ4,GCG5,393,1551
2025-01-30,2025-01-29,GCG5,GCJ5,1551,19604
2025-03-28,2025-03-27,GCJ5,GCM5,19604,287
2025-05-29,2025-05-28,GCM5,GCQ5,287,42008094
2025-07-30,2025-07-29,GCQ5,GCZ5,42008094,39231
2025-11-26,2025-11-25,GCZ5,GCG6,39231,42001025
2026-01-29,2026-01-28,GCG6,GCJ6,42001025,42000890
2026-03-30,2026-03-27,GCJ6,GCM6,42000890,19181
2026-05-28,2026-05-27,GCM6,GCQ6,19181,42011464
