roll_date,crossover_date,from_symbol,to_symbol,from_instrument_id,to_instrument_id
2016-03-01,2016-02-29,ZBH6,ZBM6,292210,78427
2016-05-31,2016-05-30,ZBM6,ZBU6,78427,524867
2016-09-01,2016-08-31,ZBU6,ZBZ6,524867,193952
2016-12-01,2016-11-30,ZBZ6,ZBH7,193952,457844
2017-03-01,2017-02-28,ZBH7,ZBM7,457844,39039
2017-06-01,2017-05-31,ZBM7,ZBU7,39039,106225
2017-08-31,2017-08-30,ZBU7,ZBZ7,106225,439173
2017-11-30,2017-11-29,ZBZ7,ZBH8,439173,333069
2018-03-01,2018-02-28,ZBH8,ZBM8,333069,362215
2018-06-01,2018-05-31,ZBM8,ZBU8,362215,619134
2018-09-03,2018-08-31,ZBU8,ZBZ8,619134,175277
2018-12-03,2018-11-30,ZBZ8,ZBH9,175277,482919
2019-02-28,2019-02-27,ZBH9,ZBM9,482919,349009
2019-05-31,2019-05-30,ZBM9,ZBU9,349009,66424
2019-08-30,2019-08-29,ZBU9,ZBZ9,66424,143672
2019-11-28,2019-11-27,ZBZ9,ZBH0,143672,609823
2020-03-02,2020-02-27,ZBH0,ZBM0,609823,176345
2020-05-29,2020-05-28,ZBM0,ZBU0,176345,238721
2020-08-31,2020-08-28,ZBU0,ZBZ0,238721,461640
2020-11-30,2020-11-27,ZBZ0,ZBH1,461640,518912
2021-02-26,2021-02-25,ZBH1,ZBM1,518912,540169
2021-05-28,2021-05-27,ZBM1,ZBU1,540169,64991
2021-08-31,2021-08-30,ZBU1,ZBZ1,64991,315941
2021-11-30,2021-11-29,ZBZ1,ZBH2,315941,243464
2022-02-28,2022-02-25,ZBH2,ZBM2,243464,176706
2022-05-30,2022-05-27,ZBM2,ZBU2,176706,194647
2022-08-31,2022-08-30,ZBU2,ZBZ2,194647,648539
2022-11-30,2022-11-29,ZBZ2,ZBH3,648539,198127
2023-02-28,2023-02-27,ZBH3,ZBM3,198127,130245
2023-05-30,2023-05-29,ZBM3,ZBU3,130245,225833
2023-08-30,2023-08-29,ZBU3,ZBZ3,225833,488438
2023-11-30,2023-11-29,ZBZ3,ZBH4,488438,379949
2024-02-29,2024-02-28,ZBH4,ZBM4,379949,42004286
2024-05-30,2024-05-29,ZBM4,ZBU4,42004286,42003620
2024-08-29,2024-08-28,ZBU4,ZBZ4,42003620,42000732
2024-11-28,2024-11-27,ZBZ4,ZBH5,42000732,42004096
2025-02-27,2025-02-26,ZBH5,ZBM5,42004096,42004255
2025-05-29,2025-05-28,ZBM5,ZBU5,42004255,42144138
2025-08-28,2025-08-27,ZBU5,ZBZ5,42144138,42001597
2025-11-26,2025-11-25,ZBZ5,ZBH6,42001597,42004746
2026-02-26,2026-02-25,ZBH6,ZBM6,42004746,42004655
2026-05-28,2026-05-27,ZBM6,ZBU6,42004655,42004736
